clarky
1.000000 0.000000
0.971170 0.007411
0.942310 0.014092
0.913402 0.020563
0.884450 0.026835
0.855455 0.032901
0.826414 0.038751
0.797331 0.044383
0.768202 0.049769
0.739032 0.054932
0.709815 0.059827
0.680562 0.064496
0.651263 0.068862
0.621922 0.072944
0.592532 0.076653
0.563099 0.080007
0.533623 0.082959
0.504112 0.085535
0.474569 0.087706
0.444997 0.089449
0.415401 0.090705
0.385787 0.091420
0.356164 0.091604
0.326543 0.091291
0.296928 0.090576
0.267328 0.089420
0.237759 0.087642
0.208271 0.084840
0.178917 0.080879
0.149797 0.075461
0.120925 0.068843
0.092498 0.060535
0.064624 0.050531
0.037895 0.037843
0.014328 0.020045
0.000484 -0.004525
0.023563 -0.021104
0.052700 -0.026337
0.082234 -0.028562
0.111834 -0.029725
0.141452 -0.030241
0.171075 -0.030141
0.200694 -0.029648
0.230306 -0.028822
0.259913 -0.027819
0.289515 -0.026707
0.319118 -0.025590
0.348721 -0.024499
0.378325 -0.023421
0.407929 -0.022345
0.437533 -0.021261
0.467136 -0.020172
0.496740 -0.019082
0.526343 -0.017993
0.555947 -0.016906
0.585550 -0.015820
0.615154 -0.014733
0.644757 -0.013646
0.674361 -0.012559
0.703964 -0.011471
0.733568 -0.010384
0.763172 -0.009297
0.792775 -0.008210
0.822379 -0.007122
0.851982 -0.006035
0.881586 -0.004948
0.911189 -0.003861
0.940793 -0.002774
0.970396 -0.001687
