naca0020
1.000000 0.000000
0.970479 0.008880
0.940907 0.015433
0.911288 0.021770
0.881625 0.027901
0.851923 0.033832
0.822181 0.039569
0.792404 0.045114
0.762591 0.050468
0.732745 0.055632
0.702866 0.060599
0.672954 0.065364
0.643008 0.069917
0.613030 0.074248
0.583019 0.078340
0.552973 0.082174
0.522893 0.085730
0.492779 0.088981
0.462630 0.091897
0.432448 0.094443
0.402234 0.096576
0.371991 0.098248
0.341724 0.099403
0.311440 0.099979
0.281152 0.099891
0.250875 0.099052
0.220634 0.097355
0.190468 0.094647
0.160431 0.090758
0.130615 0.085446
0.101169 0.078373
0.072374 0.069008
0.044806 0.056519
0.019971 0.039301
0.002626 0.014837
0.002626 -0.014837
0.019971 -0.039301
0.044806 -0.056519
0.072374 -0.069008
0.101169 -0.078373
0.130615 -0.085446
0.160431 -0.090758
0.190468 -0.094647
0.220634 -0.097355
0.250875 -0.099052
0.281152 -0.099891
0.311440 -0.099979
0.341724 -0.099403
0.371991 -0.098248
0.402234 -0.096576
0.432448 -0.094443
0.462630 -0.091897
0.492779 -0.088981
0.522893 -0.085730
0.552973 -0.082174
0.583019 -0.078340
0.613030 -0.074248
0.643008 -0.069917
0.672954 -0.065364
0.702866 -0.060599
0.732745 -0.055632
0.762591 -0.050468
0.792404 -0.045114
0.822181 -0.039569
0.851923 -0.033832
0.881625 -0.027901
0.911288 -0.021770
0.940907 -0.015433
0.970479 -0.008880
